steam_id_number,game_title,release_month,release_year,release_price,lowest_estimated_owners_number,highest_estimated_owners_number,average_estimated_owners_number,developer,publisher,estimated_revenue
331,Freud's Bones-the game,May,2022,13.99,20000.0,20000.0,20000.0,Axel Fox (Fortuna Imperatore),Axel Fox (Fortuna Imperatore),279800.0
332,Hypergalactic Psychic Table Tennis 3000,March,2020,1.99,20000.0,20000.0,20000.0,Blue Wizard Digital,Blue Wizard Digital,39800.0
333,Echoes of Aetheria,January,2016,14.99,20000.0,20000.0,20000.0,Dancing Dragon Games,Komodo,299800.0
334,Signs of the Sojourner,May,2020,19.99,20000.0,20000.0,20000.0,Echodog Games,Echodog Games,399799.99999999994
335,Rebel Galaxy Outlaw,September,2020,29.99,20000.0,50000.0,35000.0,Double Damage Games,Double Damage Games,1049650.0
336,Lovecraft's Untold Stories,January,2019,14.99,50000.0,100000.0,75000.0,LLC Blini Games,Fulqrum Publishing,1124250.0
337,Arcadia Fallen,November,2021,24.99,20000.0,20000.0,20000.0,Galdra Studios,Galdra Studios,499799.99999999994
338,Deathtrap Dungeon: The Interactive Video Adventure,April,2020,7.99,20000.0,20000.0,20000.0,Branching Narrative Ltd,Branching Narrative Ltd,159800.0
339,Din's Curse,March,2010,9.99,20000.0,50000.0,35000.0,Soldak Entertainment,Soldak Entertainment,349650.0
340,Stirring Abyss,October,2020,24.99,20000.0,20000.0,20000.0,"Sleepy Sentry, K-Project",Slitherine Ltd.,499799.99999999994
341,Aggelos,June,2018,14.99,20000.0,50000.0,35000.0,Storybird Games,"PQube, Look At My Game",524650.0
342,Operencia: The Stolen Sun,March,2020,29.99,20000.0,50000.0,35000.0,Zen Studios,Zen Studios,1049650.0
343,BEAUTIFUL DESOLATION,February,2020,19.99,50000.0,100000.0,75000.0,THE BROTHERHOOD,THE BROTHERHOOD,1499249.9999999998
344,Feudal Alloy,January,2019,1.69,20000.0,50000.0,35000.0,Attu Games,Attu Games,59150.0
345,STORY OF SEASONS: Pioneers of Olive Town,September,2021,29.99,20000.0,50000.0,35000.0,Marvelous Inc.,"XSEED Games, Marvelous USA, Inc., Marvelous",1049650.0
346,Demigod,December,2011,9.99,50000.0,100000.0,75000.0,Gas Powered Games,Stardock Entertainment,749250.0
347,Ys VI: The Ark of Napishtim,April,2015,19.99,100000.0,200000.0,150000.0,Nihon Falcom,"XSEED Games, Marvelous USA, Inc.",2998499.9999999995
348,Castle In The Darkness,February,2015,9.99,50000.0,100000.0,75000.0,"Matt Kap, Nicalis, Inc.","Nicalis, Inc.",749250.0
349,Overture,January,2015,4.99,200000.0,500000.0,350000.0,Black Shell Games,Plug In Digital,1746500.0
350,Candleman: The Complete Journey,January,2018,14.99,20000.0,50000.0,35000.0,Candleman Games,Candleman Games,524650.0
